Node,AverageAttackRate,Rank,degree_centrality,betweenness_centrality
142,0.854874,1,0.013377926421404682,0.07940752646653328
157,0.854874,2,0.013377926421404682,0.0794075264665332
172,0.854867,3,0.013377926421404682,0.07762094637940109
127,0.854867,4,0.013377926421404682,0.07762094637940105
112,0.854844,5,0.013377926421404682,0.07407831691146147
187,0.854844,6,0.013377926421404682,0.07407831691146143
143,0.854817,7,0.013377926421404682,0.0779008524276848
141,0.854817,8,0.013377926421404682,0.0779008524276848
156,0.854817,9,0.013377926421404682,0.07790085242768471
158,0.854817,10,0.013377926421404682,0.07790085242768471
128,0.85481,11,0.013377926421404682,0.07617833635409396
126,0.85481,12,0.013377926421404682,0.07617833635409395
173,0.85481,13,0.013377926421404682,0.076178336354094
171,0.85481,14,0.013377926421404682,0.07617833635409399
113,0.854786,15,0.013377926421404682,0.07275749299673526
188,0.854786,16,0.013377926421404682,0.07275749299673527
111,0.854786,17,0.013377926421404682,0.07275749299673524
186,0.854786,18,0.013377926421404682,0.07275749299673526
97,0.854761,19,0.013377926421404682,0.0688383557390911
202,0.854761,20,0.013377926421404682,0.06883835573909111
98,0.854702,21,0.013377926421404682,0.0676853191003461
203,0.854702,22,0.013377926421404682,0.06768531910034613
201,0.854702,23,0.013377926421404682,0.06768531910034613
96,0.854702,24,0.013377926421404682,0.0676853191003461
159,0.854541,25,0.013377926421404682,0.07342014579856578
155,0.854541,26,0.013377926421404682,0.07342014579856575
140,0.854541,27,0.013377926421404682,0.07342014579856583
144,0.854541,28,0.013377926421404682,0.07342014579856583
170,0.854534,29,0.013377926421404682,0.07187906446246956
174,0.854534,30,0.013377926421404682,0.07187906446246958
129,0.854534,31,0.013377926421404682,0.07187906446246957
125,0.854534,32,0.013377926421404682,0.07187906446246957
114,0.854507,33,0.013377926421404682,0.06880504826618179
110,0.854507,34,0.013377926421404682,0.06880504826618182
185,0.854507,35,0.013377926421404682,0.06880504826618189
189,0.854507,36,0.013377926421404682,0.06880504826618192
217,0.854471,37,0.013377926421404682,0.061983450033949186
82,0.854471,38,0.013377926421404682,0.0619834500339492
99,0.854416,39,0.013377926421404682,0.0642149759213591
95,0.854416,40,0.013377926421404682,0.06421497592135908
200,0.854416,41,0.013377926421404682,0.06421497592135907
204,0.854416,42,0.013377926421404682,0.06421497592135908
218,0.854408,43,0.013377926421404682,0.061028825776465685
216,0.854408,44,0.013377926421404682,0.0610288257764657
81,0.854408,45,0.013377926421404682,0.06102882577646566
83,0.854408,46,0.013377926421404682,0.06102882577646566
215,0.854105,47,0.013377926421404682,0.05813528946892996
219,0.854105,48,0.013377926421404682,0.05813528946892996
80,0.854105,49,0.013377926421404682,0.058135289468929936
84,0.854105,50,0.013377926421404682,0.05813528946892993
154,0.853544,51,0.013377926421404682,0.06607638592162886
139,0.853544,52,0.013377926421404682,0.06607638592162896
160,0.853544,53,0.013377926421404682,0.06607638592162889
145,0.853544,54,0.013377926421404682,0.06607638592162896
124,0.853535,55,0.013377926421404682,0.06480480285477073
169,0.853535,56,0.013377926421404682,0.06480480285477071
175,0.853535,57,0.013377926421404682,0.06480480285477072
130,0.853535,58,0.013377926421404682,0.06480480285477071
190,0.853501,59,0.013377926421404682,0.06225135538114038
109,0.853501,60,0.013377926421404682,0.06225135538114042
184,0.853501,61,0.013377926421404682,0.06225135538114037
115,0.853501,62,0.013377926421404682,0.06225135538114042
67,0.853452,63,0.013377926421404682,0.053613188704038486
232,0.853452,64,0.013377926421404682,0.05361318870403853
205,0.853393,65,0.013377926421404682,0.058397143778979074
199,0.853393,66,0.013377926421404682,0.058397143778979074
100,0.853393,67,0.013377926421404682,0.05839714377897903
94,0.853393,68,0.013377926421404682,0.05839714377897904
66,0.853378,69,0.013377926421404682,0.05287069301153583
231,0.853378,70,0.013377926421404682,0.052870693011535845
233,0.853378,71,0.013377926421404682,0.05287069301153585
68,0.853378,72,0.013377926421404682,0.052870693011535824
85,0.853039,73,0.013377926421404682,0.05321767607957388
220,0.853039,74,0.013377926421404682,0.053217676079573874
214,0.853039,75,0.013377926421404682,0.053217676079573895
79,0.853039,76,0.013377926421404682,0.05321767607957388
234,0.853034,77,0.013377926421404682,0.050602346797183985
69,0.853034,78,0.013377926421404682,0.05060234679718404
65,0.853034,79,0.013377926421404682,0.05060234679718404
230,0.853034,80,0.013377926421404682,0.050602346797184
70,0.85186,81,0.013377926421404682,0.04668655552483917
229,0.85186,82,0.013377926421404682,0.04668655552483911
235,0.85186,83,0.013377926421404682,0.046686555524839114
64,0.85186,84,0.013377926421404682,0.046686555524839156
146,0.850009,85,0.013377926421404682,0.056031923440898496
153,0.850009,86,0.013377926421404682,0.05603192344089849
138,0.850009,87,0.013377926421404682,0.056031923440898475
161,0.850009,88,0.013377926421404682,0.056031923440898496
176,0.849994,89,0.013377926421404682,0.05507774459602166
123,0.849994,90,0.013377926421404682,0.05507774459602169
131,0.849994,91,0.013377926421404682,0.055077744596021695
168,0.849994,92,0.013377926421404682,0.05507774459602164
116,0.849944,93,0.013377926421404682,0.053146029206056475
191,0.849944,94,0.013377926421404682,0.053146029206056385
183,0.849944,95,0.013377926421404682,0.053146029206056405
108,0.849944,96,0.013377926421404682,0.05314602920605649
247,0.849868,97,0.013377926421404682,0.04383590038965317
52,0.849868,98,0.013377926421404682,0.043835900389653196
206,0.849794,99,0.013377926421404682,0.05019085280582317
101,0.849794,100,0.013377926421404682,0.050190852805823215
198,0.849794,101,0.013377926421404682,0.05019085280582316
93,0.849794,102,0.013377926421404682,0.050190852805823215
248,0.849767,103,0.013377926421404682,0.043302877441854674
51,0.849767,104,0.013377926421404682,0.04330287744185468
53,0.849767,105,0.013377926421404682,0.04330287744185468
246,0.849767,106,0.013377926421404682,0.04330287744185467
213,0.849334,107,0.013377926421404682,0.04614531049369655
221,0.849334,108,0.013377926421404682,0.04614531049369653
78,0.849334,109,0.013377926421404682,0.0461453104936965
86,0.849334,110,0.013377926421404682,0.0461453104936965
50,0.849325,111,0.013377926421404682,0.041660997387299815
54,0.849325,112,0.013377926421404682,0.04166099738729982
245,0.849325,113,0.013377926421404682,0.04166099738729983
249,0.849325,114,0.013377926421404682,0.04166099738729983
236,0.847894,115,0.013377926421404682,0.04092377027991633
228,0.847894,116,0.013377926421404682,0.04092377027991634
71,0.847894,117,0.013377926421404682,0.04092377027991631
63,0.847894,118,0.013377926421404682,0.04092377027991631
49,0.847892,119,0.013377926421404682,0.03877841564087702
250,0.847892,120,0.013377926421404682,0.038778415640877056
244,0.847892,121,0.013377926421404682,0.038778415640877056
55,0.847892,122,0.013377926421404682,0.03877841564087702
251,0.843307,123,0.013377926421404682,0.034424128568799145
243,0.843307,124,0.013377926421404682,0.034424128568799145
48,0.843307,125,0.013377926421404682,0.034424128568799096
56,0.843307,126,0.013377926421404682,0.034424128568799096
162,0.837585,127,0.013377926421404682,0.0434672314073074
147,0.837585,128,0.013377926421404682,0.04346723140730735
152,0.837585,129,0.013377926421404682,0.0434672314073074
137,0.837585,130,0.013377926421404682,0.04346723140730734
132,0.837557,131,0.013377926421404682,0.04283671129596276
122,0.837557,132,0.013377926421404682,0.04283671129596276
177,0.837557,133,0.013377926421404682,0.04283671129596276
167,0.837557,134,0.013377926421404682,0.04283671129596276
192,0.837471,135,0.013377926421404682,0.04154891902706678
182,0.837471,136,0.013377926421404682,0.041548919027066776
117,0.837471,137,0.013377926421404682,0.041548919027066776
107,0.837471,138,0.013377926421404682,0.04154891902706677
262,0.837333,139,0.013377926421404682,0.03275699254131967
37,0.837333,140,0.013377926421404682,0.03275699254131966
207,0.837224,141,0.013377926421404682,0.03954912016232405
102,0.837224,142,0.013377926421404682,0.039549120162324064
197,0.837224,143,0.013377926421404682,0.03954912016232406
92,0.837224,144,0.013377926421404682,0.039549120162324064
36,0.837174,145,0.013377926421404682,0.03241651029673678
38,0.837174,146,0.013377926421404682,0.03241651029673677
261,0.837174,147,0.013377926421404682,0.032416510296736804
263,0.837174,148,0.013377926421404682,0.03241651029673681
77,0.836524,149,0.013377926421404682,0.036752156091835006
87,0.836524,150,0.013377926421404682,0.036752156091835
212,0.836524,151,0.013377926421404682,0.03675215609183501
222,0.836524,152,0.013377926421404682,0.036752156091835006
39,0.836505,153,0.013377926421404682,0.03135875332514985
35,0.836505,154,0.013377926421404682,0.031358753325149834
260,0.836505,155,0.013377926421404682,0.03135875332514987
264,0.836505,156,0.013377926421404682,0.031358753325149855
227,0.834498,157,0.013377926421404682,0.03303874394398758
237,0.834498,158,0.013377926421404682,0.03303874394398757
72,0.834498,159,0.013377926421404682,0.03303874394398759
62,0.834498,160,0.013377926421404682,0.033038743943987606
265,0.834491,161,0.013377926421404682,0.02946802356771608
259,0.834491,162,0.013377926421404682,0.029468023567716085
40,0.834491,163,0.013377926421404682,0.029468023567716085
34,0.834491,164,0.013377926421404682,0.02946802356771609
57,0.828545,165,0.013377926421404682,0.028250095385886898
47,0.828545,166,0.013377926421404682,0.028250095385886898
252,0.828545,167,0.013377926421404682,0.02825009538588691
242,0.828545,168,0.013377926421404682,0.028250095385886922
41,0.828542,169,0.013377926421404682,0.0265276850982708
33,0.828542,170,0.013377926421404682,0.0265276850982708
258,0.828542,171,0.013377926421404682,0.026527685098270786
266,0.828542,172,0.013377926421404682,0.026527685098270786
42,0.810877,173,0.013377926421404682,0.02217895135598768
32,0.810877,174,0.013377926421404682,0.022178951355987683
257,0.810877,175,0.013377926421404682,0.02217895135598769
267,0.810877,176,0.013377926421404682,0.022178951355987693
148,0.795102,177,0.013377926421404682,0.028528157329806465
136,0.795102,178,0.013377926421404682,0.028528157329806462
151,0.795102,179,0.013377926421404682,0.02852815732980645
163,0.795102,180,0.013377926421404682,0.02852815732980644
166,0.795049,181,0.013377926421404682,0.028191679538787942
178,0.795049,182,0.013377926421404682,0.02819167953878794
133,0.795049,183,0.013377926421404682,0.028191679538787918
121,0.795049,184,0.013377926421404682,0.02819167953878793
181,0.79489,185,0.013377926421404682,0.027497638526639265
118,0.79489,186,0.013377926421404682,0.027497638526639244
193,0.79489,187,0.013377926421404682,0.02749763852663927
106,0.79489,188,0.013377926421404682,0.027497638526639247
277,0.794632,189,0.013377926421404682,0.020458554286253774
22,0.794632,190,0.013377926421404682,0.020458554286253757
103,0.794457,191,0.013377926421404682,0.026401358391424882
196,0.794457,192,0.013377926421404682,0.02640135839142491
208,0.794457,193,0.013377926421404682,0.026401358391424903
91,0.794457,194,0.013377926421404682,0.026401358391424875
278,0.79436,195,0.013377926421404682,0.020282116860487934
23,0.79436,196,0.013377926421404682,0.020282116860487937
21,0.79436,197,0.013377926421404682,0.020282116860487937
276,0.79436,198,0.013377926421404682,0.020282116860487937
211,0.793292,199,0.013377926421404682,0.02482915614728175
76,0.793292,200,0.013377926421404682,0.02482915614728178
88,0.793292,201,0.013377926421404682,0.02482915614728179
223,0.793292,202,0.013377926421404682,0.024829156147281744
24,0.793255,203,0.013377926421404682,0.019728409370503613
275,0.793255,204,0.013377926421404682,0.019728409370503595
279,0.793255,205,0.013377926421404682,0.019728409370503595
20,0.793255,206,0.013377926421404682,0.01972840937050361
61,0.790159,207,0.013377926421404682,0.02266904836738971
226,0.790159,208,0.013377926421404682,0.02266904836738969
73,0.790159,209,0.013377926421404682,0.022669048367389703
238,0.790159,210,0.013377926421404682,0.02266904836738969
25,0.790145,211,0.013377926421404682,0.0187172003735789
19,0.790145,212,0.013377926421404682,0.0187172003735789
280,0.790145,213,0.013377926421404682,0.018717200373578886
274,0.790145,214,0.013377926421404682,0.018717200373578893
46,0.781726,215,0.013377926421404682,0.019755588561257215
253,0.781726,216,0.013377926421404682,0.0197555885612572
241,0.781726,217,0.013377926421404682,0.01975558856125721
58,0.781726,218,0.013377926421404682,0.01975558856125722
281,0.78172,219,0.013377926421404682,0.01708830053149929
26,0.78172,220,0.013377926421404682,0.017088300531499297
18,0.78172,221,0.013377926421404682,0.017088300531499297
273,0.78172,222,0.013377926421404682,0.017088300531499293
256,0.759179,223,0.013377926421404682,0.015844372078025547
43,0.759179,224,0.013377926421404682,0.01584437207802556
31,0.759179,225,0.013377926421404682,0.015844372078025564
268,0.759179,226,0.013377926421404682,0.01584437207802555
272,0.759177,227,0.013377926421404682,0.014549186544512892
17,0.759177,228,0.013377926421404682,0.014549186544512892
282,0.759177,229,0.013377926421404682,0.01454918654451289
27,0.759177,230,0.013377926421404682,0.014549186544512892
16,0.700568,231,0.013377926421404682,0.010563911872582458
28,0.700568,232,0.013377926421404682,0.010563911872582458
283,0.700568,233,0.013377926421404682,0.010563911872582474
271,0.700568,234,0.013377926421404682,0.010563911872582474
150,0.661879,235,0.010033444816053512,0.01120948350256937
135,0.661879,236,0.010033444816053512,0.011209483502569367
164,0.661879,237,0.010033444816053512,0.011209483502569374
149,0.661879,238,0.010033444816053512,0.01120948350256937
165,0.6618,239,0.010033444816053512,0.01110903782230796
120,0.6618,240,0.010033444816053512,0.011109037822307962
134,0.6618,241,0.010033444816053512,0.011109037822307963
179,0.6618,242,0.010033444816053512,0.01110903782230796
194,0.661563,243,0.010033444816053512,0.010897583447085805
180,0.661563,244,0.010033444816053512,0.010897583447085805
105,0.661563,245,0.010033444816053512,0.010897583447085805
119,0.661563,246,0.010033444816053512,0.010897583447085803
292,0.661174,247,0.010033444816053512,0.006944219467761464
7,0.661174,248,0.010033444816053512,0.00694421946776146
195,0.660932,249,0.010033444816053512,0.01055211521818475
90,0.660932,250,0.010033444816053512,0.010552115218184754
209,0.660932,251,0.010033444816053512,0.01055211521818475
104,0.660932,252,0.010033444816053512,0.010552115218184756
293,0.660784,253,0.010033444816053512,0.006893511298086166
8,0.660784,254,0.010033444816053512,0.006893511298086169
6,0.660784,255,0.010033444816053512,0.006893511298086168
291,0.660784,256,0.010033444816053512,0.006893511298086163
224,0.659295,257,0.010033444816053512,0.010032828196149103
75,0.659295,258,0.010033444816053512,0.010032828196149101
89,0.659295,259,0.010033444816053512,0.010032828196149104
210,0.659295,260,0.010033444816053512,0.010032828196149104
5,0.659238,261,0.010033444816053512,0.006730292722259427
290,0.659238,262,0.010033444816053512,0.0067302927222594325
294,0.659238,263,0.010033444816053512,0.0067302927222594325
9,0.659238,264,0.010033444816053512,0.006730292722259428
225,0.655106,265,0.010033444816053512,0.009274759122301864
239,0.655106,266,0.010033444816053512,0.009274759122301862
60,0.655106,267,0.010033444816053512,0.009274759122301865
74,0.655106,268,0.010033444816053512,0.009274759122301864
295,0.655084,269,0.010033444816053512,0.006417164534967636
10,0.655084,270,0.010033444816053512,0.006417164534967634
4,0.655084,271,0.010033444816053512,0.006417164534967633
289,0.655084,272,0.010033444816053512,0.006417164534967636
254,0.644594,273,0.010033444816053512,0.008172021425896925
45,0.644594,274,0.010033444816053512,0.008172021425896929
240,0.644594,275,0.010033444816053512,0.008172021425896927
59,0.644594,276,0.010033444816053512,0.008172021425896929
3,0.644585,277,0.010033444816053512,0.005875271529425931
