Node,AverageAttackRate,Rank,degree_centrality,betweenness_centrality
2,0.061141,1,0.013377926421404682,0.5898857489169715
1,0.061141,2,0.013377926421404682,0.5898857489169715
0,0.059469,3,0.010033444816053512,0.6382572781755741
3,0.051108,4,0.013377926421404682,0.32674911898722814
8,0.049278,5,0.013377926421404682,0.23898453457834842
4,0.049278,6,0.013377926421404682,0.23898453457834842
5,0.049278,7,0.013377926421404682,0.23898453457834842
9,0.049278,8,0.013377926421404682,0.23898453457834842
6,0.049278,9,0.013377926421404682,0.23898453457834842
7,0.049278,10,0.013377926421404682,0.23898453457834842
10,0.041126,11,0.013377926421404682,0.18149985409979574
11,0.035796,12,0.013377926421404682,0.07838207896567978
12,0.035796,13,0.013377926421404682,0.07838207896567978
14,0.034881,14,0.013377926421404682,0.07838207896567978
15,0.034881,15,0.013377926421404682,0.07838207896567978
25,0.034881,16,0.013377926421404682,0.07838207896567978
22,0.034881,17,0.013377926421404682,0.07838207896567978
27,0.034881,18,0.013377926421404682,0.07838207896567978
30,0.034881,19,0.013377926421404682,0.07838207896567978
29,0.034881,20,0.013377926421404682,0.07838207896567978
28,0.034881,21,0.013377926421404682,0.07838207896567978
13,0.034881,22,0.013377926421404682,0.07838207896567978
24,0.034881,23,0.013377926421404682,0.07838207896567978
26,0.034881,24,0.013377926421404682,0.07838207896567978
20,0.034881,25,0.013377926421404682,0.07838207896567978
19,0.034881,26,0.013377926421404682,0.07838207896567978
16,0.034881,27,0.013377926421404682,0.07838207896567978
21,0.034881,28,0.013377926421404682,0.07838207896567978
23,0.034881,29,0.013377926421404682,0.07838207896567978
17,0.034881,30,0.013377926421404682,0.07838207896567978
18,0.034881,31,0.013377926421404682,0.07838207896567978
31,0.030805,32,0.013377926421404682,0.07838207896567978
32,0.030177,33,0.013377926421404682,0.07200736234876882
33,0.025161,34,0.013377926421404682,0.019999551076294583
34,0.022496,35,0.013377926421404682,0.019999551076294583
35,0.022496,36,0.013377926421404682,0.019999551076294583
38,0.022496,37,0.013377926421404682,0.019999551076294583
37,0.022496,38,0.013377926421404682,0.019999551076294583
36,0.022496,39,0.013377926421404682,0.019999551076294583
39,0.022496,40,0.013377926421404682,0.019999551076294583
47,0.022038,41,0.013377926421404682,0.019999551076294583
63,0.022038,42,0.013377926421404682,0.019999551076294583
62,0.022038,43,0.013377926421404682,0.019999551076294583
61,0.022038,44,0.013377926421404682,0.019999551076294583
60,0.022038,45,0.013377926421404682,0.019999551076294583
59,0.022038,46,0.013377926421404682,0.019999551076294583
58,0.022038,47,0.013377926421404682,0.019999551076294583
57,0.022038,48,0.013377926421404682,0.019999551076294583
56,0.022038,49,0.013377926421404682,0.019999551076294583
48,0.022038,50,0.013377926421404682,0.019999551076294583
49,0.022038,51,0.013377926421404682,0.019999551076294583
50,0.022038,52,0.013377926421404682,0.019999551076294583
51,0.022038,53,0.013377926421404682,0.019999551076294583
52,0.022038,54,0.013377926421404682,0.019999551076294583
53,0.022038,55,0.013377926421404682,0.019999551076294583
54,0.022038,56,0.013377926421404682,0.019999551076294583
55,0.022038,57,0.013377926421404682,0.019999551076294583
72,0.022038,58,0.013377926421404682,0.019999551076294583
73,0.022038,59,0.013377926421404682,0.019999551076294583
71,0.022038,60,0.013377926421404682,0.019999551076294583
70,0.022038,61,0.013377926421404682,0.019999551076294583
67,0.022038,62,0.013377926421404682,0.019999551076294583
66,0.022038,63,0.013377926421404682,0.019999551076294583
69,0.022038,64,0.013377926421404682,0.019999551076294583
68,0.022038,65,0.013377926421404682,0.019999551076294583
79,0.022038,66,0.013377926421404682,0.019999551076294583
78,0.022038,67,0.013377926421404682,0.019999551076294583
77,0.022038,68,0.013377926421404682,0.019999551076294583
76,0.022038,69,0.013377926421404682,0.019999551076294583
75,0.022038,70,0.013377926421404682,0.019999551076294583
74,0.022038,71,0.013377926421404682,0.019999551076294583
65,0.022038,72,0.013377926421404682,0.019999551076294583
64,0.022038,73,0.013377926421404682,0.019999551076294583
80,0.022038,74,0.013377926421404682,0.019999551076294583
81,0.022038,75,0.013377926421404682,0.019999551076294583
87,0.022038,76,0.013377926421404682,0.019999551076294583
86,0.022038,77,0.013377926421404682,0.019999551076294583
83,0.022038,78,0.013377926421404682,0.019999551076294583
82,0.022038,79,0.013377926421404682,0.019999551076294583
85,0.022038,80,0.013377926421404682,0.019999551076294583
84,0.022038,81,0.013377926421404682,0.019999551076294583
91,0.022038,82,0.013377926421404682,0.019999551076294583
40,0.022038,83,0.013377926421404682,0.019999551076294583
42,0.022038,84,0.013377926421404682,0.019999551076294583
41,0.022038,85,0.013377926421404682,0.019999551076294583
44,0.022038,86,0.013377926421404682,0.019999551076294583
45,0.022038,87,0.013377926421404682,0.019999551076294583
46,0.022038,88,0.013377926421404682,0.019999551076294583
43,0.022038,89,0.013377926421404682,0.019999551076294583
89,0.022038,90,0.013377926421404682,0.019999551076294583
90,0.022038,91,0.013377926421404682,0.019999551076294583
93,0.022038,92,0.013377926421404682,0.019999551076294583
92,0.022038,93,0.013377926421404682,0.019999551076294583
88,0.022038,94,0.013377926421404682,0.019999551076294583
96,0.019999,95,0.013377926421404682,0.019999551076294583
95,0.019999,96,0.013377926421404682,0.019999551076294583
94,0.019999,97,0.013377926421404682,0.019999551076294583
97,0.019686,98,0.013377926421404682,0.019999551076294583
98,0.019686,99,0.013377926421404682,0.019999551076294583
99,0.018432,100,0.010033444816053512,0.013355480236133869
101,0.013415,101,0.0033444816053511705,0.0
102,0.013415,102,0.0033444816053511705,0.0
100,0.013415,103,0.0033444816053511705,0.0
119,0.012082,104,0.0033444816053511705,0.0
118,0.012082,105,0.0033444816053511705,0.0
105,0.012082,106,0.0033444816053511705,0.0
103,0.012082,107,0.0033444816053511705,0.0
117,0.012082,108,0.0033444816053511705,0.0
116,0.012082,109,0.0033444816053511705,0.0
115,0.012082,110,0.0033444816053511705,0.0
114,0.012082,111,0.0033444816053511705,0.0
113,0.012082,112,0.0033444816053511705,0.0
104,0.012082,113,0.0033444816053511705,0.0
111,0.012082,114,0.0033444816053511705,0.0
110,0.012082,115,0.0033444816053511705,0.0
109,0.012082,116,0.0033444816053511705,0.0
108,0.012082,117,0.0033444816053511705,0.0
107,0.012082,118,0.0033444816053511705,0.0
106,0.012082,119,0.0033444816053511705,0.0
112,0.012082,120,0.0033444816053511705,0.0
120,0.012082,121,0.0033444816053511705,0.0
256,0.011853,122,0.0033444816053511705,0.0
257,0.011853,123,0.0033444816053511705,0.0
258,0.011853,124,0.0033444816053511705,0.0
259,0.011853,125,0.0033444816053511705,0.0
260,0.011853,126,0.0033444816053511705,0.0
261,0.011853,127,0.0033444816053511705,0.0
262,0.011853,128,0.0033444816053511705,0.0
263,0.011853,129,0.0033444816053511705,0.0
264,0.011853,130,0.0033444816053511705,0.0
265,0.011853,131,0.0033444816053511705,0.0
266,0.011853,132,0.0033444816053511705,0.0
267,0.011853,133,0.0033444816053511705,0.0
268,0.011853,134,0.0033444816053511705,0.0
269,0.011853,135,0.0033444816053511705,0.0
270,0.011853,136,0.0033444816053511705,0.0
271,0.011853,137,0.0033444816053511705,0.0
272,0.011853,138,0.0033444816053511705,0.0
273,0.011853,139,0.0033444816053511705,0.0
274,0.011853,140,0.0033444816053511705,0.0
275,0.011853,141,0.0033444816053511705,0.0
276,0.011853,142,0.0033444816053511705,0.0
277,0.011853,143,0.0033444816053511705,0.0
278,0.011853,144,0.0033444816053511705,0.0
279,0.011853,145,0.0033444816053511705,0.0
280,0.011853,146,0.0033444816053511705,0.0
281,0.011853,147,0.0033444816053511705,0.0
282,0.011853,148,0.0033444816053511705,0.0
122,0.011853,149,0.0033444816053511705,0.0
123,0.011853,150,0.0033444816053511705,0.0
121,0.011853,151,0.0033444816053511705,0.0
128,0.011853,152,0.0033444816053511705,0.0
127,0.011853,153,0.0033444816053511705,0.0
126,0.011853,154,0.0033444816053511705,0.0
125,0.011853,155,0.0033444816053511705,0.0
124,0.011853,156,0.0033444816053511705,0.0
132,0.011853,157,0.0033444816053511705,0.0
