,Seed 0,Seed 4,Seed 9,Seed 14,Seed 15,Seed 24,Seed 25,Seed 29,Seed 30,Seed 34,Seed 40,Seed 41,Seed 45,Seed 46,Seed 47,Seed 53,Seed 55,Seed 61,Seed 62,Seed 74,Seed 78,Seed 83,Seed 91,Seed 96,Seed 97,Seed 1,Seed 3,Seed 10,Seed 20,Seed 35,Seed 65,Seed 67,Seed 75,Seed 79,Seed 82,Seed 84,Seed 90,Seed 93,Seed 95,Seed 2,Seed 7,Seed 22,Seed 26,Seed 27,Seed 38,Seed 39,Seed 50,Seed 57,Seed 63,Seed 69,Seed 88,Seed 92,Seed 94,Seed 19,Seed 28,Seed 54,Seed 72,Seed 89,Seed 13,Seed 42,Seed 49,Seed 58,Seed 77,Seed 5,Seed 21,Seed 37,Seed 48,Seed 59,Seed 70,Seed 73,Seed 86,Seed 6,Seed 8,Seed 11,Seed 17,Seed 18,Seed 68,Seed 76,Seed 80,Seed 98,Seed 52,Seed 87,Seed 23,Seed 36,Seed 85,Seed 43,Seed 51,Seed 56,Seed 60,Seed 31,Seed 66,Seed 81,Seed 12,Seed 16,Seed 64,Seed 71,Seed 99,Seed 44,Seed 32,Seed 33
sigma_45,0.798526,0.795280,0.795038,0.795624,0.795113,0.795301,0.794961,0.801106,0.794917,0.799307,0.795361,0.795106,1.000000,0.795128,0.794980,0.794807,0.795266,0.794903,0.795061,0.794822,0.795007,0.795324,0.795071,0.799610,0.795136,0.801518,0.795201,0.802316,0.795149,0.795065,0.795188,0.795173,0.799051,0.795443,0.795138,0.795393,0.800211,0.798108,0.799046,0.795218,0.795309,0.794894,0.799805,0.794742,0.795091,0.795140,0.799539,0.795047,0.794994,0.797964,0.795070,0.794951,0.795173,0.795252,0.798291,0.795175,0.795089,0.794917,0.799488,0.795025,0.795016,0.794966,0.795314,0.794917,0.794944,0.795347,0.794935,0.794972,0.794957,0.795478,0.795012,0.795099,0.794907,0.795140,0.794876,0.795141,0.799700,0.794940,0.795134,0.794964,0.794829,0.795421,0.795483,0.794953,0.795186,0.795077,0.794894,0.799127,0.794900,0.795076,0.795375,0.801125,0.795069,0.794843,0.795110,0.797811,0.794962,0.795358,0.795255,0.794903
sigma_46,0.831873,0.829005,0.829103,0.829113,0.829260,0.829790,0.832616,0.828858,0.829208,0.828839,0.829430,0.834452,0.829063,1.000000,0.829398,0.829399,0.832115,0.829014,0.828946,0.829120,0.829087,0.829181,0.829211,0.829175,0.829048,0.829080,0.833637,0.829058,0.829032,0.828888,0.829033,0.828969,0.828960,0.828833,0.828924,0.828786,0.833196,0.831376,0.828964,0.828901,0.828963,0.828918,0.828952,0.828875,0.828937,0.829266,0.832566,0.828770,0.828894,0.829000,0.829264,0.832985,0.829187,0.836878,0.831931,0.829148,0.829237,0.829203,0.829112,0.829401,0.834591,0.829089,0.828980,0.829446,0.828822,0.833963,0.832388,0.832815,0.828975,0.829423,0.834095,0.828911,0.829208,0.828928,0.829136,0.829046,0.828781,0.828727,0.828764,0.828864,0.829049,0.829225,0.829006,0.828944,0.829224,0.829054,0.828767,0.829123,0.834692,0.828829,0.834394,0.828936,0.829064,0.832916,0.833394,0.831393,0.829023,0.828941,0.829140,0.831603
sigma_47,0.744408,0.739654,0.739662,0.740043,0.739670,0.752299,0.745402,0.739686,0.744345,0.739766,0.739669,0.747752,0.739579,0.740062,1.000000,0.740219,0.740022,0.739744,0.739545,0.742389,0.740116,0.739508,0.739834,0.739615,0.739587,0.739527,0.740001,0.739491,0.745527,0.739493,0.739875,0.739749,0.739558,0.739674,0.739642,0.739600,0.739795,0.739798,0.739691,0.739365,0.739389,0.739708,0.739643,0.739519,0.739757,0.740374,0.739599,0.739618,0.739602,0.739594,0.740001,0.739662,0.740032,0.740035,0.743914,0.739850,0.739813,0.739992,0.739483,0.739883,0.739575,0.739763,0.739552,0.747150,0.739836,0.739880,0.739881,0.739910,0.739981,0.740120,0.739710,0.743826,0.739852,0.739680,0.739784,0.739909,0.739716,0.743305,0.739661,0.739750,0.739410,0.739808,0.739637,0.742927,0.739796,0.739633,0.739441,0.739478,0.740024,0.739546,0.739800,0.739564,0.739563,0.745940,0.739693,0.743262,0.739608,0.745214,0.739680,0.743544
sigma_53,0.765342,0.761547,0.761388,0.761798,0.767434,0.762251,0.766377,0.761361,0.761531,0.761399,0.761490,0.761494,0.761033,0.761691,0.761847,1.000000,0.761313,0.761483,0.761637,0.761251,0.761634,0.761322,0.761348,0.762143,0.761426,0.761832,0.767813,0.761442,0.767001,0.761264,0.772195,0.761578,0.761235,0.761554,0.761571,0.761252,0.761269,0.761269,0.760964,0.761868,0.767832,0.761544,0.761316,0.761345,0.761330,0.771634,0.761089,0.767240,0.761409,0.761277,0.761154,0.767414,0.761304,0.761662,0.761197,0.761559,0.761982,0.761959,0.761784,0.768094,0.761705,0.761408,0.761351,0.768386,0.761325,0.761753,0.766256,0.761516,0.761543,0.761503,0.768806,0.761302,0.761755,0.761210,0.761381,0.761421,0.761068,0.764608,0.767315,0.761499,0.766116,0.761960,0.761829,0.761153,0.761159,0.761373,0.761209,0.761027,0.761459,0.761223,0.761102,0.761116,0.761495,0.761157,0.761263,0.761212,0.761321,0.761472,0.761273,0.765050
sigma_55,0.846889,0.844345,0.844010,0.844535,0.844348,0.844489,0.847428,0.844393,0.846960,0.844217,0.844232,0.849511,0.844452,0.847365,0.844609,0.844273,1.000000,0.844166,0.844225,0.845890,0.844314,0.844010,0.844416,0.844274,0.844280,0.849204,0.844528,0.849558,0.844387,0.844262,0.844851,0.848823,0.844328,0.844312,0.848618,0.847653,0.848187,0.844132,0.844170,0.844246,0.844386,0.844031,0.844215,0.846750,0.844059,0.844759,0.847726,0.844294,0.843976,0.844051,0.844740,0.844246,0.849040,0.844290,0.844043,0.848587,0.847674,0.844097,0.844119,0.844092,0.844160,0.848008,0.844058,0.848720,0.844165,0.844454,0.844139,0.844137,0.844326,0.844443,0.844217,0.844042,0.844515,0.844367,0.843968,0.844071,0.844594,0.846325,0.844107,0.844111,0.843957,0.850788,0.844508,0.846145,0.844456,0.843933,0.844126,0.844133,0.844247,0.844152,0.844249,0.848489,0.844056,0.844307,0.844522,0.844116,0.844283,0.844248,0.844191,0.844075
sigma_61,0.809008,0.805879,0.810325,0.805684,0.805616,0.806001,0.805577,0.806047,0.805559,0.805671,0.812569,0.805590,0.805559,0.805735,0.805802,0.805913,0.805636,1.000000,0.805774,0.805682,0.805949,0.805667,0.805709,0.805639,0.810253,0.805619,0.805651,0.805494,0.810177,0.805551,0.805689,0.805934,0.805716,0.810063,0.805818,0.805684,0.805596,0.805609,0.805831,0.811715,0.806019,0.806110,0.805893,0.809078,0.805781,0.805884,0.805752,0.805693,0.811983,0.805658,0.806441,0.806002,0.806221,0.805702,0.805465,0.810994,0.805667,0.806354,0.805786,0.806089,0.806147,0.805657,0.809658,0.805616,0.805486,0.805624,0.809927,0.805668,0.805706,0.805845,0.805517,0.805527,0.805835,0.806069,0.805735,0.805911,0.805825,0.805656,0.805704,0.809036,0.809871,0.805754,0.805770,0.805660,0.805576,0.805893,0.808510,0.805891,0.805997,0.805607,0.805771,0.811242,0.806004,0.810269,0.810705,0.805810,0.810084,0.805671,0.805764,0.808624
sigma_62,0.793058,0.794527,0.789497,0.789851,0.789594,0.789592,0.789563,0.789661,0.789517,0.789663,0.790178,0.789577,0.789457,0.789407,0.789343,0.789807,0.789435,0.789514,1.000000,0.789461,0.789951,0.794691,0.794045,0.789762,0.789552,0.789566,0.794638,0.789439,0.789319,0.792081,0.789918,0.795380,0.789663,0.789723,0.789678,0.789425,0.789320,0.789312,0.789732,0.789485,0.795557,0.789651,0.789668,0.793129,0.789431,0.789604,0.789522,0.789284,0.789754,0.789273,0.789910,0.789917,0.789388,0.789660,0.789563,0.789632,0.789867,0.789458,0.789598,0.789290,0.796942,0.789915,0.789308,0.789331,0.789507,0.789289,0.789419,0.789349,0.794850,0.789702,0.789652,0.789396,0.789497,0.789565,0.792366,0.789719,0.793945,0.789341,0.794394,0.789517,0.794049,0.789547,0.789249,0.789407,0.789500,0.789315,0.789178,0.789788,0.789477,0.792933,0.789333,0.795364,0.789539,0.789323,0.789559,0.789344,0.789615,0.793998,0.795799,0.789374
sigma_74,0.906938,0.905315,0.907611,0.909078,0.905422,0.905770,0.907329,0.905414,0.905262,0.905353,0.905604,0.905473,0.905167,0.905528,0.908128,0.905369,0.907044,0.905370,0.905410,1.000000,0.908055,0.905488,0.905198,0.905272,0.905312,0.905408,0.907782,0.905352,0.905278,0.906472,0.905313,0.908064,0.905292,0.905161,0.905322,0.907187,0.905204,0.905112,0.905224,0.905424,0.907914,0.908081,0.905368,0.905238,0.907217,0.905749,0.905138,0.905106,0.905265,0.905215,0.908896,0.905109,0.905364,0.909493,0.906820,0.907932,0.905371,0.905264,0.905484,0.905298,0.905104,0.905143,0.905119,0.905582,0.907392,0.908012,0.907155,0.907600,0.905314,0.905277,0.905348,0.905365,0.905259,0.905205,0.905132,0.905108,0.907337,0.905199,0.907364,0.906769,0.905357,0.909389,0.905119,0.905244,0.905190,0.905180,0.905198,0.905159,0.908585,0.905099,0.905249,0.907947,0.905264,0.907466,0.907903,0.905166,0.905133,0.905464,0.905144,0.905086
sigma_78,0.756250,0.757786,0.752338,0.752681,0.758197,0.752058,0.752446,0.752104,0.751975,0.756748,0.752465,0.751757,0.751834,0.751979,0.752344,0.752235,0.751955,0.752119,0.752381,0.754546,1.000000,0.751894,0.752510,0.752280,0.751997,0.751953,0.751858,0.751597,0.751864,0.751741,0.751879,0.758852,0.751806,0.752326,0.751930,0.751876,0.751651,0.752066,0.751701,0.759292,0.752167,0.752051,0.752270,0.751882,0.752105,0.752165,0.751817,0.751833,0.760147,0.751828,0.752699,0.752137,0.751813,0.752060,0.752028,0.751792,0.752066,0.752246,0.751864,0.752066,0.752292,0.751962,0.751835,0.759263,0.752020,0.751981,0.752150,0.758246,0.758529,0.752065,0.752125,0.751651,0.752554,0.751918,0.751739,0.751872,0.751889,0.751835,0.751880,0.751941,0.757067,0.752166,0.751726,0.755183,0.752016,0.757953,0.751831,0.751831,0.759783,0.751685,0.751562,0.751964,0.752066,0.751965,0.751787,0.755431,0.751793,0.756934,0.751945,0.751734
sigma_83,0.796010,0.792711,0.792796,0.792771,0.792542,0.793267,0.792390,0.792755,0.792309,0.796773,0.793227,0.792625,0.792844,0.792766,0.792430,0.792616,0.792343,0.792531,0.797815,0.792664,0.792587,1.000000,0.792668,0.792556,0.792628,0.792572,0.792831,0.792733,0.792679,0.795430,0.792539,0.792602,0.796724,0.792629,0.792336,0.792350,0.792568,0.792552,0.796509,0.792822,0.798396,0.798913,0.792418,0.792522,0.796911,0.792596,0.792566,0.792643,0.792509,0.795617,0.792552,0.792312,0.792826,0.801926,0.795923,0.792771,0.792610,0.792787,0.792754,0.792548,0.793057,0.797412,0.792707,0.792797,0.792759,0.798466,0.792824,0.792448,0.792503,0.792746,0.793081,0.792527,0.792223,0.792611,0.795735,0.792616,0.792796,0.792331,0.792426,0.792298,0.796812,0.793012,0.792797,0.792520,0.792463,0.792399,0.792411,0.796680,0.792930,0.792746,0.792909,0.792600,0.796721,0.792410,0.798340,0.792389,0.792474,0.792721,0.793145,0.792343
