Node,AverageAttackRate,Rank,degree_centrality,betweenness_centrality
969,0.010429,1,0.013013013013013013,0.011515354472600084
179,0.010199,2,0.012012012012012012,0.006102061257475562
309,0.010191,3,0.014014014014014014,0.01949643150422867
744,0.010179,4,0.012012012012012012,0.007106623214317131
746,0.010175,5,0.012012012012012012,0.010052371340459509
737,0.010134,6,0.012012012012012012,0.006130838387926482
328,0.010118,7,0.013013013013013013,0.01352755733494859
512,0.010115,8,0.013013013013013013,0.017409274370947483
735,0.010074,9,0.012012012012012012,0.011404586795468862
180,0.009981,10,0.012012012012012012,0.006861837669959208
805,0.009911,11,0.012012012012012012,0.009850227886527929
810,0.00977,12,0.012012012012012012,0.011855236991553412
738,0.00972,13,0.011011011011011011,0.006509977609353427
743,0.009706,14,0.011011011011011011,0.006543035704179306
422,0.009671,15,0.012012012012012012,0.008023781536628425
178,0.009572,16,0.011011011011011011,0.004023033354039219
733,0.009571,17,0.011011011011011011,0.009524519417212675
177,0.009552,18,0.011011011011011011,0.006284877041675574
742,0.009534,19,0.011011011011011011,0.0028555320448783563
316,0.009495,20,0.012012012012012012,0.011371813958963087
951,0.009405,21,0.012012012012012012,0.006754385268314208
806,0.009377,22,0.011011011011011011,0.007404494172974909
166,0.009371,23,0.012012012012012012,0.00909065643253208
748,0.009364,24,0.011011011011011011,0.0043780623909780315
413,0.00935,25,0.012012012012012012,0.008599069915834067
796,0.009336,26,0.012012012012012012,0.006767884597116028
415,0.009303,27,0.012012012012012012,0.009089497895881503
962,0.009283,28,0.012012012012012012,0.006229549050648224
503,0.009274,29,0.012012012012012012,0.008250024969058025
925,0.009226,30,0.012012012012012012,0.007059078689412793
313,0.009205,31,0.012012012012012012,0.007776938186108115
420,0.009128,32,0.011011011011011011,0.0035748037435423866
421,0.009125,33,0.011011011011011011,0.004855539644826498
752,0.009106,34,0.011011011011011011,0.005420569256462206
173,0.00905,35,0.011011011011011011,0.0044371238411529965
800,0.009048,36,0.011011011011011011,0.004703827106168957
799,0.009046,37,0.011011011011011011,0.011200153303230962
741,0.009031,38,0.01001001001001001,0.0009949638955719534
803,0.00903,39,0.011011011011011011,0.007627206909406705
182,0.00902,40,0.011011011011011011,0.004533624644499076
739,0.009016,41,0.01001001001001001,0.0010909923539550532
946,0.008994,42,0.011011011011011011,0.008315446332517889
493,0.008993,43,0.012012012012012012,0.006675049499742142
423,0.008979,44,0.011011011011011011,0.008020385778020231
172,0.008975,45,0.011011011011011011,0.0051130128199408246
941,0.008956,46,0.011011011011011011,0.005665003957792919
419,0.00895,47,0.011011011011011011,0.0039516799580985645
673,0.008911,48,0.012012012012012012,0.00673323500234948
811,0.008908,49,0.011011011011011011,0.00967349479008503
510,0.008902,50,0.011011011011011011,0.010826647908639074
753,0.008895,51,0.011011011011011011,0.0066795184665306056
943,0.008882,52,0.011011011011011011,0.003272448231826709
928,0.008876,53,0.011011011011011011,0.006072211666841472
747,0.008856,54,0.01001001001001001,0.0009136381443799479
644,0.008849,55,0.013013013013013013,0.009435590878586902
947,0.008841,56,0.011011011011011011,0.004413730693050835
176,0.008841,57,0.01001001001001001,0.001326570604433547
489,0.008841,58,0.012012012012012012,0.006278874574901127
892,0.00882,59,0.012012012012012012,0.008657929364577915
667,0.00881,60,0.012012012012012012,0.008672281924119585
924,0.008808,61,0.011011011011011011,0.0041187173499267656
671,0.008803,62,0.011011011011011011,0.008200335502145346
509,0.008802,63,0.011011011011011011,0.006711344237723889
175,0.008799,64,0.01001001001001001,0.000806018082190707
927,0.008798,65,0.011011011011011011,0.00907524663189984
968,0.008791,66,0.011011011011011011,0.0043666869201551845
736,0.008782,67,0.01001001001001001,0.0006586899870843347
930,0.008778,68,0.011011011011011011,0.006415353955761921
730,0.008771,69,0.011011011011011011,0.004650669307824247
240,0.008764,70,0.012012012012012012,0.006579962619750215
965,0.008751,71,0.011011011011011011,0.003323247242445156
942,0.008747,72,0.011011011011011011,0.003448473461154753
492,0.008744,73,0.011011011011011011,0.007302553595793785
732,0.008743,74,0.011011011011011011,0.004152590654002801
508,0.008729,75,0.011011011011011011,0.0037947748855042085
455,0.00871,76,0.012012012012012012,0.009379743363436447
318,0.00871,77,0.011011011011011011,0.006912147494831099
353,0.008677,78,0.012012012012012012,0.008302196527817222
948,0.008669,79,0.011011011011011011,0.003261277926089831
181,0.008664,80,0.01001001001001001,0.008034752783560669
981,0.008663,81,0.011011011011011011,0.011282111358704869
332,0.008652,82,0.011011011011011011,0.0070342168939642015
28,0.008644,83,0.012012012012012012,0.005182010037576463
749,0.008642,84,0.01001001001001001,0.0009161017105029228
687,0.008629,85,0.013013013013013013,0.010764431706272951
937,0.00861,86,0.011011011011011011,0.0039950088195981415
801,0.008596,87,0.01001001001001001,0.0013425918829217526
174,0.008593,88,0.01001001001001001,0.000800584327982816
454,0.008571,89,0.012012012012012012,0.006342129350432364
885,0.008571,90,0.012012012012012012,0.009515367538326094
513,0.008558,91,0.011011011011011011,0.0038881603636125605
976,0.008547,92,0.011011011011011011,0.0043195682667220014
266,0.008547,93,0.011011011011011011,0.004603373773909708
958,0.008546,94,0.011011011011011011,0.0032186482048648245
706,0.008536,95,0.012012012012012012,0.011929997446082601
446,0.008525,96,0.012012012012012012,0.009825625559258618
319,0.008517,97,0.011011011011011011,0.006262733454924966
825,0.00851,98,0.012012012012012012,0.007653544228638508
974,0.008496,99,0.011011011011011011,0.0033421840008309688
260,0.008493,100,0.011011011011011011,0.006817617897399855
674,0.008493,101,0.011011011011011011,0.00443194869575011
251,0.008492,102,0.011011011011011011,0.004780422417107768
165,0.008488,103,0.011011011011011011,0.0029561229314081774
331,0.008481,104,0.011011011011011011,0.004218770826035461
750,0.00848,105,0.01001001001001001,0.0008724967170432352
140,0.00846,106,0.012012012012012012,0.009018675950664398
672,0.008455,107,0.011011011011011011,0.006455618493536135
599,0.008449,108,0.012012012012012012,0.0059179257563438045
582,0.008439,109,0.012012012012012012,0.008754056401992902
502,0.008417,110,0.011011011011011011,0.0032490002400601715
261,0.0084,111,0.011011011011011011,0.00721858786636463
797,0.008396,112,0.011011011011011011,0.00421631766259805
669,0.008386,113,0.011011011011011011,0.003557076042694722
896,0.008381,114,0.011011011011011011,0.007899827451452601
247,0.008381,115,0.011011011011011011,0.0047943648420239035
728,0.008373,116,0.011011011011011011,0.003524014740235945
321,0.008368,117,0.011011011011011011,0.00845362647650725
365,0.00836,118,0.012012012012012012,0.008854152960223191
417,0.008353,119,0.01001001001001001,0.006393834360127003
809,0.008339,120,0.01001001001001001,0.002210080699039045
751,0.008339,121,0.01001001001001001,0.0052036370189413135
804,0.008335,122,0.01001001001001001,0.010083084125613418
676,0.008317,123,0.011011011011011011,0.005880404979700557
302,0.008315,124,0.011011011011011011,0.0039875465832665885
324,0.008314,125,0.011011011011011011,0.0061220147527921475
869,0.008312,126,0.012012012012012012,0.009007580771307278
300,0.00831,127,0.011011011011011011,0.0036759713376801097
246,0.008307,128,0.011011011011011011,0.0033481814998206835
241,0.008305,129,0.011011011011011011,0.003708698663032209
400,0.008299,130,0.011011011011011011,0.007009747611611632
425,0.008297,131,0.01001001001001001,0.00573722563329952
163,0.00829,132,0.011011011011011011,0.0024348205130453574
298,0.008287,133,0.011011011011011011,0.003858658026316762
970,0.008282,134,0.01001001001001001,0.004105361999351412
410,0.008279,135,0.011011011011011011,0.004739639255234892
171,0.008279,136,0.01001001001001001,0.0005256288819219654
265,0.008279,137,0.011011011011011011,0.008920241780908427
794,0.008275,138,0.011011011011011011,0.004508061793933203
731,0.008274,139,0.01001001001001001,0.0010340115448896007
808,0.008271,140,0.01001001001001001,0.005594387149926694
966,0.008264,141,0.01001001001001001,0.0009878759983914839
839,0.008255,142,0.011011011011011011,0.0067220231964766255
740,0.008255,143,0.009009009009009009,0.0008733185912664547
427,0.008252,144,0.011011011011011011,0.004928594070830345
170,0.008252,145,0.01001001001001001,0.0006162024576473984
950,0.008247,146,0.01001001001001001,0.009760829248805553
244,0.008246,147,0.011011011011011011,0.0069783845784392425
507,0.008236,148,0.01001001001001001,0.0013012357629132425
842,0.00823,149,0.011011011011011011,0.010524574803980214
964,0.008228,150,0.01001001001001001,0.0008750149030557349
929,0.008224,151,0.01001001001001001,0.0013862021109317462
308,0.008223,152,0.01001001001001001,0.010554942182464031
162,0.008221,153,0.011011011011011011,0.00692110206090367
183,0.00822,154,0.01001001001001001,0.0011932607616825723
416,0.00822,155,0.01001001001001001,0.0007155311060326676
184,0.008219,156,0.01001001001001001,0.00622749632128807
926,0.008218,157,0.01001001001001001,0.0008351078145092557
580,0.008205,158,0.011011011011011011,0.004044266164124562
255,0.008202,159,0.011011011011011011,0.004071093065530884
32,0.008197,160,0.011011011011011011,0.005360891672322469
755,0.008193,161,0.011011011011011011,0.0016492292984186566
340,0.008191,162,0.011011011011011011,0.007271310207162775
424,0.008187,163,0.01001001001001001,0.0011867076907472339
961,0.008186,164,0.01001001001001001,0.001270353985310322
335,0.008185,165,0.011011011011011011,0.004368646304526241
408,0.008179,166,0.011011011011011011,0.00745732626469481
829,0.008172,167,0.011011011011011011,0.010870932776608482
898,0.00817,168,0.011011011011011011,0.0057079966853865426
857,0.008157,169,0.011011011011011011,0.007855704126718871
409,0.008155,170,0.011011011011011011,0.0036945372658405856
